tempo,x1,y1,z1,x2,y2,z2,distanza
1800,-2693.39,6387.67,0,-1153.77,7970.04,0,2207.79
1820,-2833.42,6327.53,0,-1283.61,7950.63,0,2244.19
1840,-2972.09,6264.36,0,-1413.05,7928.79,0,2280.56
1860,-3109.34,6198.2,0,-1542.06,7904.53,0,2316.89
1880,-3245.11,6129.07,0,-1670.6,7877.86,0,2353.16
1900,-3379.32,6057.01,0,-1798.62,7848.79,0,2389.36
1920,-3511.92,5982.06,0,-1926.1,7817.32,0,2425.48
1940,-3642.84,5904.25,0,-2053,7783.46,0,2461.51
1960,-3772.02,5823.63,0,-2179.26,7747.22,0,2497.42
1980,-3899.4,5740.22,0,-2304.86,7708.61,0,2533.21
2000,-4024.92,5654.07,0,-2429.75,7667.64,0,2568.86
2020,-4148.52,5565.23,0,-2553.9,7624.33,0,2604.36
2040,-4270.15,5473.74,0,-2677.26,7578.67,0,2639.7
2060,-4389.73,5379.63,0,-2799.8,7530.69,0,2674.87
2080,-4507.23,5282.97,0,-2921.48,7480.39,0,2709.85
2100,-4622.58,5183.79,0,-3042.27,7427.79,0,2744.63
2120,-4735.74,5082.14,0,-3162.11,7372.9,0,2779.19
2140,-4846.64,4978.07,0,-3280.98,7315.73,0,2813.53
2160,-4955.23,4871.64,0,-3398.83,7256.3,0,2847.63
2180,-5061.47,4762.9,0,-3515.63,7194.63,0,2881.48
2200,-5165.31,4651.89,0,-3631.34,7130.71,0,2915.07
2220,-5266.7,4538.67,0,-3745.91,7064.58,0,2948.39
2240,-5365.58,4423.3,0,-3859.32,6996.25,0,2981.42
2260,-5461.93,4305.83,0,-3971.53,6925.73,0,3014.15
2280,-5555.68,4186.33,0,-4082.49,6853.03,0,3046.58
2300,-5646.8,4064.84,0,-4192.16,6778.19,0,3078.68
2320,-5735.25,3941.42,0,-4300.52,6701.21,0,3110.45
2340,-5820.99,3816.14,0,-4407.52,6622.12,0,3141.88
